run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
ERR1912948	SAMEA103958148	ERX1973525	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912948/ERR1912948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912948/ERR1912948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/008/ERR1912948	
ERR1912950	SAMEA103958163	ERX1973527	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912950/ERR1912950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912950/ERR1912950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912950	
ERR1912953	SAMEA103958125	ERX1973530	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912953/ERR1912953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912953/ERR1912953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/003/ERR1912953	
ERR1912962	SAMEA103958137	ERX1973539	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912962/ERR1912962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/002/ERR1912962/ERR1912962_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/002/ERR1912962	
ERR1912963	SAMEA103958137	ERX1973540	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912963/ERR1912963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/003/ERR1912963/ERR1912963_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/003/ERR1912963	
ERR1912969	SAMEA103958121	ERX1973546	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912969/ERR1912969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912969/ERR1912969_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/009/ERR1912969	
ERR1912970	SAMEA103958121	ERX1973547	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912970/ERR1912970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912970/ERR1912970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912970	
ERR1912971	SAMEA103958161	ERX1973548	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912971/ERR1912971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/001/ERR1912971/ERR1912971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/001/ERR1912971	
ERR1912978	SAMEA103958116	ERX1973555	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912978/ERR1912978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1912978/ERR1912978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/008/ERR1912978	
ERR1912980	SAMEA103958150	ERX1973557	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912980/ERR1912980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/000/ERR1912980/ERR1912980_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/000/ERR1912980	
ERR1912989	SAMEA103958162	ERX1973566	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912989/ERR1912989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/009/ERR1912989/ERR1912989_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/009/ERR1912989	
ERR1912997	SAMEA103958167	ERX1973574	PRJEB17784	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912997/ERR1912997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/007/ERR1912997/ERR1912997_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR191/007/ERR1912997	
